"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"C1,C2";"CP_Radial_D5.0mm_P2.00mm";2;"100uF";;;
2;"SW3,SW2";"SW_PUSH_6mm";2;"SW_Push";;;
3;"D1";"LED_D3.0mm_Clear";1;"LED";;;
4;"D5,D4,D3";"LED_D5.0mm";3;"LED";;;
5;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"ULTRA_2 / I2C";;;
6;"J11,J9,J10";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03";;;
7;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"VBAT";;;
8;"J5";"PinSocket_1x06_P2.54mm_Vertical";1;"driver_in";;;
9;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
10;"R4,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"470";;;
11;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"ULTRA_1 / ENC";;;
12;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
13;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"BT / UART";;;
14;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"M2";;;
15;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"M1";;;
16;"J6";"PinSocket_1x06_P2.54mm_Vertical";1;"driver_out";;;
17;"D2";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
18;"SW1";"SW_Push_2P2T_Toggle_7x7mm";1;"SW_POWER";;;
19;"J12";"PinHeader_1x08_P2.54mm_Vertical";1;"Power";;;
20;"J13";"PinHeader_1x06_P2.54mm_Vertical";1;"Analog";;;
21;"J14";"PinHeader_1x10_P2.54mm_Vertical";1;"Digital/PWM";;;
22;"J15";"PinHeader_1x08_P2.54mm_Vertical";1;"Digital/PWM";;;
23;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
24;"R1,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10K";;;
25;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22K";;;
26;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"39K";;;
